emp_id,age,experience_yrs,salary_inr,rating,attendance_pct
1058.0,31.0,6.7,742747.0,2.6,94.7
1357.0,45.0,8.8,731126.0,4.3,92.3
1338.0,30.921518987341774,4.3,518167.0,3.3,84.3
1116.0,32.0,0.0,642408.0,3.7,95.4
1209.0,33.0,8.3,409313.0,3.3,92.9
1166.0,36.0,1.3,806637.0,2.5,0.0
1014.0,21.0,9.3,550831.0,4.5,0.0
1185.0,31.0,13.6,587990.0,2.6,96.0
1349.0,30.0,10.6,523791.0,2.7,92.7
1251.0,30.921518987341774,10.9,643478.0,2.8,89.5
1267.0,25.0,10.0,743184.0,3.4,83.3
1135.0,23.0,6.5,523945.0,4.6,90.11737913486004
1327.0,38.0,11.3,360631.0,2.7,90.4
1219.0,30.0,6.5,683614.0,3.9,88.4
1347.0,29.0,6.5,415306.0,4.0,94.1
1375.0,24.0,6.5,807045.0,2.9,86.6
1382.0,41.0,11.2,714171.0,2.1,89.1
1400.0,29.0,8.7,347673.0,2.9,88.3
1258.0,26.0,6.5,421070.0,1.8,96.7
1105.0,24.0,12.3,609507.0,3.6,92.0
1037.0,35.0,1.4,737022.0,3.0,98.5
1380.0,30.0,7.3,365879.0,3.0,88.4
1063.0,27.0,2.7,488680.0,2.2,97.9
1284.0,32.0,3.5,399593.0,4.4,83.0
1173.0,35.0,0.0,750466.0,2.4,88.6
1102.0,29.0,6.5,656088.0,2.9,84.5
1016.0,39.0,12.9,628168.0962226278,3.8,91.0
1146.0,30.921518987341774,4.5,409800.0,2.4,97.3
1005.0,32.0,7.2,733808.0,2.9,98.2
1372.0,31.0,9.9,343660.0,4.7,94.1
1003.0,30.921518987341774,5.9,336634.0,3.9,97.6
1216.0,32.0,4.5,410346.0,2.7,96.7
1234.0,44.0,0.0,395199.0,4.1,87.6
1169.0,29.0,6.5,628471.4890510949,3.404239401496259,106.2
1122.0,26.0,10.2,324262.0,3.7,96.4
1383.0,30.921518987341774,8.4,713471.0,3.6,93.8
1101.0,19.0,11.0,377877.0,3.2,105.1
1181.0,32.0,1.8,273428.0,1.8,100.9
