emp_id,age,experience_yrs,salary_inr,rating,attendance_pct
1058.00,31.00,6.70,742747.00,2.60,94.70
1357.00,45.00,8.80,731126.00,4.30,92.30
1338.00,nan,4.30,518167.00,3.30,84.30
1116.00,32.00,-0.60,642408.00,3.70,95.40
1209.00,33.00,8.30,409313.00,3.30,92.90
1166.00,36.00,1.30,806637.00,2.50,-87.80
1014.00,21.00,9.30,550831.00,4.50,-92.50
1059.00,33.00,9.40,933335.00,1.80,84.60
1185.00,31.00,13.60,587990.00,2.60,96.00
1349.00,30.00,10.60,523791.00,2.70,92.70
1251.00,nan,10.90,643478.00,2.80,89.50
1267.00,25.00,10.00,743184.00,3.40,83.30
1135.00,23.00,nan,523945.00,4.60,nan
1187.00,39.00,9.00,822971.00,3.50,86.70
1327.00,38.00,11.30,360631.00,2.70,90.40
1219.00,30.00,nan,683614.00,3.90,88.40
1265.00,41.00,5.70,1065734.00,3.40,89.50
1060.00,25.00,nan,834659.00,4.00,96.20
1038.00,27.00,3.20,1103954.00,2.60,90.80
1347.00,29.00,nan,415306.00,4.00,94.10
1375.00,24.00,nan,807045.00,2.90,86.60
1127.00,37.00,8.60,1395487.00,3.40,98.40
1382.00,41.00,11.20,714171.00,2.10,89.10
1400.00,29.00,8.70,347673.00,2.90,88.30
1258.00,26.00,nan,421070.00,1.80,96.70
1105.00,24.00,12.30,609507.00,3.60,92.00
1037.00,35.00,1.40,737022.00,3.00,98.50
1380.00,30.00,7.30,365879.00,3.00,88.40
1063.00,27.00,2.70,488680.00,2.20,97.90
1284.00,32.00,3.50,399593.00,4.40,83.00
1173.00,35.00,-2.20,750466.00,2.40,88.60
1102.00,29.00,nan,656088.00,2.90,84.50
1016.00,39.00,12.90,-450000.00,3.80,91.00
1146.00,nan,4.50,409800.00,2.40,97.30
1005.00,32.00,7.20,733808.00,2.90,98.20
1372.00,31.00,9.90,343660.00,4.70,94.10
1003.00,nan,5.90,336634.00,3.90,97.60
1216.00,32.00,4.50,410346.00,2.70,96.70
1234.00,44.00,-0.70,395199.00,4.10,87.60
1169.00,29.00,nan,inf,nan,106.20
1122.00,26.00,10.20,324262.00,3.70,96.40
1383.00,nan,8.40,713471.00,3.60,93.80
1101.00,19.00,11.00,377877.00,3.20,105.10
1181.00,32.00,1.80,273428.00,1.80,100.90
1275.00,39.00,7.30,nan,3.50,90.50
1279.00,32.00,11.20,863052.00,2.40,97.40
1199.00,28.00,10.10,324641.00,3.20,91.00
1086.00,31.00,10.20,771506.00,3.60,99.10
1379.00,36.00,4.10,529142.00,2.00,96.80
1115.00,31.00,8.20,846204.00,nan,95.60
1194.00,20.00,13.60,615473.00,3.70,91.90
1133.00,25.00,8.70,544195.00,3.40,94.20
1260.00,33.00,6.40,426586.00,2.60,91.20
1313.00,38.00,13.20,nan,2.00,94.20
1300.00,31.00,12.70,670864.00,3.80,87.90
1001.00,35.00,11.90,993479.00,4.70,103.00
1273.00,28.00,nan,471763.00,2.70,85.60
1018.00,40.00,10.20,555018.00,3.40,91.50
1057.00,27.00,6.00,678488.00,3.20,83.40
1237.00,46.00,12.70,726192.00,3.10,97.60
1288.00,38.00,5.30,826741.00,3.40,92.50
1398.00,18.00,2.50,nan,3.70,83.20
1129.00,18.00,7.20,488604.00,3.80,93.70
1068.00,32.00,-1.30,705438.00,4.10,98.60
1084.00,38.00,3.60,861840.00,3.80,92.80
1281.00,25.00,9.40,463516.00,4.20,88.80
1316.00,44.00,nan,422643.00,4.00,93.80
1042.00,39.00,4.50,598213.00,3.10,nan
1214.00,28.00,5.70,785884.00,3.70,105.60
1248.00,31.00,3.10,814092.00,2.80,89.30
1066.00,39.00,nan,826360.00,3.80,88.80
1350.00,26.00,12.30,871607.00,3.50,94.00
1164.00,27.00,0.70,669777.00,3.90,91.10
1378.00,37.00,10.50,717256.00,3.20,89.70
1045.00,25.00,10.60,686761.00,3.80,98.40
1215.00,13.00,7.90,546909.00,2.80,-45.57
1017.00,47.00,13.20,357853.00,3.20,92.80
1386.00,26.00,2.80,47186.00,4.20,nan
1203.00,-27.00,-0.30,765042.00,3.60,93.20
1201.00,28.00,0.70,-628004.00,2.40,90.40
1225.00,32.00,3.80,611933.00,nan,96.60
1168.00,35.00,4.10,816330.00,3.60,88.30
1353.00,26.00,12.90,647635.00,3.70,91.10
1015.00,43.00,13.70,244830.00,3.70,97.50
1107.00,22.00,6.20,440212.00,3.40,90.80
1094.00,26.00,10.20,326748.00,3.30,81.20
1322.00,28.00,3.30,887307.00,3.30,98.10
1257.00,24.00,3.10,707442.00,3.30,85.50
1385.00,34.00,nan,526503.00,3.00,98.60
1207.00,25.00,1.00,907163.00,3.00,95.50
1176.00,40.00,nan,574818.00,2.50,91.30
1140.00,28.00,5.90,725955.00,4.50,94.70
1083.00,41.00,6.70,981536.00,3.60,97.40
1103.00,31.00,4.10,277143.00,3.00,85.80
1325.00,39.00,5.50,553869.00,2.60,83.10
1290.00,19.00,9.20,729775.00,2.60,95.00
1351.00,29.00,2.00,458697.00,2.60,93.20
1025.00,31.00,6.50,437960.00,3.00,95.60
1293.00,42.00,7.60,568568.00,3.80,90.90
1270.00,38.00,5.20,542717.00,3.80,-88.90
1296.00,32.00,13.20,406340.00,2.50,92.90
1364.00,39.00,9.80,392008.00,4.30,82.70
1170.00,31.00,8.30,1013860.00,3.70,91.00
1008.00,24.00,11.40,835302.00,2.50,95.20
