Order ID,Order Date,Customer ID,Customer Type,Product,Category,Region,City,Quantity,Price Each,Discount,Sales,Payment Mode
ORD328214,2025-05-19,CUST23270,VIP,Sports Shoes,Fashion,West,Mumbai,3.0,2942.35,0.15,7502.99,Net Banking
ORD325036,2025-08-29,CUST24346,Regular,Jeans,Fashion,West,Surat,8.0,2226.33,0.1,16029.58,Credit Card
ORD311836,10/05/2023,CUST21388,Premium,Office Desk,Furniture,East,Patna,1.0,11024.02,0.1,9921.62,Credit Card
ORD326796,2023-05-30,CUST23473,Regular,SSD 1TB,Electronics,West,Ahmedabad,5.0,7550.06,0.03,36617.79,Credit Card
ORD329341,2024-04-10,CUST22544,VIP,Calculator,Stationery,East,Bhubaneswar,1.0,708.94,0.17,588.42,UPI
ORD317901,2023-08-07,CUST22971,New,Drawer Cabinet,Furniture,South,Kochi,6.0,6531.57,0.03,38013.74,UPI
ORD326133,2025-11-15,CUST22619,Regular,Office Desk,Furniture,North,Lucknow,1.0,9769.67,0.03,9476.58,Cash
ORD313032,2023-06-27,CUST23603,Regular,Induction Cooktop,Home Appliances,Central,Nagpur,8.0,3254.0,0.08,23949.44,UPI
ORD304819,19/10/2023,CUST23368,,Laptop Bag,Accessories,East,Bhubaneswar,2.0,2161.07,0.03,4192.48,Net Banking
ORD301998,28/02/2025,CUST23754,Regular,Jeans,Fashion,South,Chennai,4.0,2036.53,0.05,7738.81,UPI
ORD323905,2025-03-25,CUST20713,Regular,Smart Watch,Electronics,West,Mumbai,3.0,6857.42,0.03,19955.09,UPI
ORD301915,2023-02-07,CUST21845,Premium,Electric Kettle,Home Appliances,West,Pune,2.0,2240.54,0.1,4032.97,Credit Card
ORD322655,2024-08-29,CUST23329,Regular,Jeans,Fashion,North,Chandigarh,8.0,2263.52,0.08,16659.51,UPI
ORD307426,2025-02-06,CUST23866,Regular,Laptop Bag,Accessories,South,Bengaluru,5.0,2039.97,0.05,9689.86,UPI
ORD302360,2024-09-13,CUST21605,New,USB Cable,Electronics,West,Ahmedabad,1.0,478.78,0.03,464.42,Credit Card
ORD320458,2024-12-06,CUST24226,Regular,Webcam,Electronics,West,Pune,3.0,3008.02,0.05,8572.86,UPI
ORD308081,2023-06-17,CUST20969,VIP,Formal Shirt,Fashion,North,Lucknow,4.0,1436.65,0.15,4884.61,Cash
ORD328669,"Jul 24, 2023",CUST24279,Regular,Power Bank,Electronics,East,Bhubaneswar,6.0,1841.65,0.08,10165.91,
ORD322566,"Dec 18, 2025",CUST23337,Regular,SSD 1TB,Electronics,West,Nashik,2.0,7508.02,0.03,14565.56,UPI
ORD326663,"Mar 28, 2023",CUST22726,Regular,Formal Shirt,Fashion,West,Mumbai,1.0,1693.03,0.03,1642.24,Credit Card
ORD319000,02/12/2024,CUST22842,Premium,USB Cable,Electronics,North,Jaipur,1.0,430.19,0.1,387.17,UPI
