Order ID,Order Date,Customer ID,Customer Type,Product,Category,Region,City,Quantity,Price Each,Discount,Sales,Payment Mode
ORD112908,2024-10-16,CUST11433,New,Bookshelf,Furniture,North,Delhi,6,6639.25,0.1,35851.95,Net Banking
ORD114592,2025-08-15,CUST11178,Regular,Pen Set,Stationery,West,Aurangabad,2,193.78,0.03,375.93,Debit Card
ORD111761,2025-09-28,CUST10146,Regular,Coffee Maker,Home Appliances,West,Pune,5,4122.21,0.05,19580.5,UPI
ORD114241,2025-09-26,CUST11112,Regular,Pen Set,Stationery,South,Chennai,2,169.92,0.03,329.64,UPI
ORD108748,2024-03-09,CUST11484,Premium,Air Fryer,Home Appliances,North,Delhi,5,6349.53,0.1,28572.88,Credit Card
ORD112116,2025-10-07,CUST11540,Regular,Laptop,Electronics,North,Delhi,6,57899.59,0.08,319605.74,UPI
ORD101427,2025-01-25,CUST10382,Regular,Jeans,Fashion,East,Bhubaneswar,1,1863.47,0.03,1807.57,Credit Card
ORD104203,2025-12-28,CUST11806,Regular,Desk,Furniture,Central,Nagpur,2,12112.4,0.05,23013.56,Debit Card
ORD124493,2024-02-20,CUST10161,Premium,Keyboard,Electronics,East,Patna,3,1339.69,0.15,3416.21,Net Banking
ORD114790,2024-08-11,CUST10676,Regular,Monitor,Electronics,South,Kochi,3,11154.12,0.03,32458.49,UPI
ORD106234,2024-11-18,CUST10236,Regular,Bookshelf,Furniture,West,Pune,4,6482.9,0.05,24635.02,Credit Card
ORD105570,2025-08-19,CUST11191,New,Desk,Furniture,North,Chandigarh,3,12988.46,0.03,37796.42,UPI
ORD120521,2025-12-10,CUST10031,Regular,Printer,Electronics,West,Nashik,3,9052.48,0.03,26342.72,Debit Card
ORD117423,2025-03-31,CUST12006,New,Desk,Furniture,Central,Nagpur,5,10909.73,0.05,51821.22,UPI
ORD122545,2024-09-18,CUST11273,Premium,Jeans,Fashion,South,Chennai,3,1715.57,0.1,4632.04,UPI
ORD111067,2025-11-16,CUST12667,New,Tablet,Electronics,Central,Nagpur,2,17652.45,0.03,34245.75,UPI
ORD121186,2024-08-26,CUST11584,Regular,Keyboard,Electronics,East,Patna,4,1486.72,0.05,5649.54,UPI
ORD120010,2025-08-12,CUST11548,Regular,Smartphone,Electronics,North,Delhi,2,20486.6,0.05,38924.54,Credit Card
ORD118370,2024-02-03,CUST10131,Premium,Keyboard,Electronics,East,Kolkata,1,1342.31,0.12,1181.23,UPI
ORD105535,2025-06-13,CUST11859,Regular,Backpack,Accessories,West,Aurangabad,2,1573.46,0.05,2989.57,Credit Card
ORD119331,2025-03-07,CUST12605,Regular,Printer,Electronics,West,Mumbai,4,9345.21,0.03,36259.41,UPI
ORD116180,2024-11-12,CUST12597,New,T-Shirt,Fashion,South,Kochi,4,818.63,0.03,3176.28,Debit Card
ORD109681,2024-08-02,CUST10405,Regular,Bookshelf,Furniture,West,Mumbai,2,5874.44,0.03,11396.41,Credit Card
ORD114618,2025-02-08,CUST10454,Regular,Mixer Grinder,Home Appliances,South,Kochi,3,3813.34,0.03,11096.82,Credit Card
ORD103848,2025-06-23,CUST12568,Premium,Keyboard,Electronics,West,Mumbai,2,1306.92,0.1,2352.46,Credit Card
ORD105545,2024-09-12,CUST10861,Regular,Jeans,Fashion,North,Lucknow,1,1815.67,0.03,1761.2,Debit Card
ORD110378,2024-12-31,CUST11435,Regular,Tablet,Electronics,West,Nashik,6,18500.34,0.08,102121.88,Credit Card
ORD108022,2024-03-13,CUST11338,Premium,Mouse,Electronics,West,Mumbai,4,752.5,0.1,2709.0,Debit Card
ORD101422,2024-01-16,CUST11729,New,Keyboard,Electronics,North,Jaipur,2,1526.12,0.03,2960.67,Debit Card
ORD124953,2025-03-09,CUST10014,Regular,Shoes,Fashion,East,Patna,1,2794.91,0.03,2711.06,UPI
ORD100959,2025-05-18,CUST12229,Premium,Printer,Electronics,South,Bengaluru,7,10357.92,0.15,61629.62,Net Banking
ORD111100,2024-08-04,CUST11376,Regular,Blender,Home Appliances,West,Nashik,6,3289.34,0.08,18157.16,Net Banking
ORD104416,2024-12-03,CUST10765,New,Keyboard,Electronics,North,Chandigarh,1,1434.04,0.05,1362.34,Debit Card
ORD107294,2025-05-31,CUST10348,New,Mouse,Electronics,South,Kochi,3,635.2,0.03,1848.43,UPI
ORD124491,2025-12-16,CUST12801,Regular,Keyboard,Electronics,West,Aurangabad,7,1282.87,0.08,8261.68,UPI
ORD117180,2025-12-14,CUST12869,Regular,Backpack,Accessories,East,Kolkata,4,1627.45,0.03,6314.51,Cash
ORD109331,2025-06-03,CUST10113,Regular,Blender,Home Appliances,East,Kolkata,5,3083.85,0.03,14956.67,UPI
ORD108058,2024-07-22,CUST12782,Regular,Headphones,Electronics,South,Kochi,5,1889.8,0.08,8693.08,UPI
ORD122060,2024-10-02,CUST11471,New,Jacket,Fashion,North,Lucknow,5,3261.89,0.05,15493.98,Credit Card
ORD107285,2024-03-28,CUST10855,Regular,Shoes,Fashion,North,Delhi,2,2963.05,0.03,5748.32,Net Banking
ORD100640,2025-10-14,CUST12946,Premium,Desk Lamp,Home Appliances,West,Aurangabad,3,1140.42,0.15,2908.07,Debit Card
ORD124443,2025-10-01,CUST11368,New,Desk,Furniture,West,Mumbai,3,12978.01,0.03,37766.01,UPI
ORD113712,2024-12-02,CUST10350,New,Keyboard,Electronics,East,Bhubaneswar,4,1493.89,0.03,5796.29,Debit Card
ORD124603,2025-06-11,CUST11643,Regular,Tablet,Electronics,South,Chennai,5,16533.09,0.05,78532.18,Credit Card
ORD103752,2024-08-22,CUST12969,Premium,Laptop,Electronics,West,Pune,7,51893.27,0.1,326927.6,UPI
ORD100971,2025-02-13,CUST10207,Regular,Monitor,Electronics,South,Chennai,1,10902.54,0.08,10030.34,UPI
ORD122227,2025-03-24,CUST12659,Premium,Jeans,Fashion,South,Hyderabad,2,1942.81,0.1,3497.06,Credit Card
ORD118461,2024-09-06,CUST10604,Premium,Backpack,Accessories,North,Jaipur,4,1482.1,0.12,5216.99,Debit Card
ORD111715,2024-06-02,CUST12527,Regular,Backpack,Accessories,North,Delhi,2,1710.09,0.03,3317.57,Credit Card
ORD117765,2025-12-03,CUST10522,Regular,Mixer Grinder,Home Appliances,North,Chandigarh,2,4140.99,0.03,8033.52,Debit Card
ORD114454,2024-01-28,CUST10877,Regular,Coffee Maker,Home Appliances,Central,Nagpur,8,4552.04,0.13,31682.2,UPI
ORD103503,2025-12-31,CUST11129,New,Jeans,Fashion,South,Kochi,1,1804.72,0.03,1750.58,Cash
ORD105910,2024-02-21,CUST12286,Premium,Laptop,Electronics,East,Kolkata,4,52860.82,0.1,190298.95,Net Banking
ORD116151,2024-02-07,CUST12629,Premium,Jacket,Fashion,West,Mumbai,1,3540.17,0.12,3115.35,Credit Card
ORD102904,2024-02-01,CUST11594,Premium,Tablet,Electronics,South,Bengaluru,1,16213.05,0.1,14591.74,UPI
ORD114578,2024-01-13,CUST11258,Premium,Keyboard,Electronics,East,Bhubaneswar,5,1403.95,0.1,6317.78,UPI
ORD116993,2024-11-03,CUST10716,Regular,Water Bottle,Accessories,North,Delhi,2,607.93,0.05,1155.07,UPI
ORD106070,2025-11-23,CUST11263,Regular,Jacket,Fashion,East,Patna,10,3387.58,0.13,29471.95,Credit Card
ORD113093,2025-11-16,CUST10718,Regular,Bookshelf,Furniture,South,Chennai,4,6663.49,0.03,25854.34,UPI
ORD101512,2024-11-14,CUST12315,Regular,Coffee Maker,Home Appliances,East,Kolkata,2,4259.62,0.05,8093.28,Debit Card
ORD108778,2024-06-06,CUST12016,Regular,Desk,Furniture,West,Aurangabad,1,10939.21,0.08,10064.07,Credit Card
ORD120216,2024-09-16,CUST10680,Regular,Printer,Electronics,West,Mumbai,2,9624.36,0.03,18671.26,Cash
ORD117204,2024-05-29,CUST12274,Premium,Monitor,Electronics,East,Bhubaneswar,2,11375.69,0.1,20476.24,UPI
ORD112986,2025-03-18,CUST11851,Regular,Jacket,Fashion,West,Aurangabad,5,3238.4,0.03,15706.24,Credit Card
ORD102145,2025-08-08,CUST12675,Regular,Air Fryer,Home Appliances,North,Jaipur,3,6654.12,0.03,19363.49,Cash
